Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
12.941,-11.28,-11.28,0
12.961,-11.28,-11.28,0
12.981,-11.28,-11.28,0
13.001,-11.4,-11.28,0
13.021,-11.4,-11.28,0
13.042,-11.4,-11.28,0
13.061,-11.28,-11.28,0
13.061,-11.4,-11.28,1
13.081,-11.4,-11.28,1
13.102,-11.4,-11.4,1
13.122,-11.4,-11.4,1
13.142,-11.4,-11.4,1
13.162,-11.4,-11.28,1
13.182,-11.4,-11.28,1
13.202,-11.4,-11.4,1
13.222,-11.03,-10.79,1
13.242,-10.42,-9.81,1
13.262,-9.45,-8.1,1
13.282,-7.61,-6.88,1
13.302,-6.02,-5.9,1
13.322,-5.05,-5.05,1
13.341,-4.07,-4.56,1
13.361,-3.7,-4.07,1
13.382,-3.21,-3.7,1
13.402,-2.72,-3.46,0
13.422,-2.24,-3.21,0
13.442,-1.99,-2.97,0
13.462,-1.87,-2.85,0
13.483,-1.38,-2.6,0
13.502,-1.38,-2.48,0
13.523,-1.14,-2.48,0
13.542,-1.26,-2.36,0
13.563,-1.14,-2.24,0
13.583,-1.01,-2.24,0
13.602,-0.89,-2.11,0
13.622,-0.53,-1.99,0
13.643,-0.77,-1.99,0
13.662,-0.77,-1.87,0
13.682,-0.77,-1.99,0
13.703,-0.53,-1.99,0
13.723,-0.65,-1.87,0
13.743,-0.4,-1.87,0
13.763,-0.4,-1.75,0
13.783,-0.4,-1.63,0
13.802,-0.28,-1.75,0
13.823,-1.38,-2.6,0
13.842,-3.46,-4.44,0
13.863,-5.17,-6.88,0
13.883,-6.88,-9.2,0
13.903,-8.96,-10.06,0
13.924,-10.18,-10.54,0
13.943,-10.54,-10.91,0
13.963,-10.91,-11.03,0
13.983,-11.03,-11.03,0
14.003,-11.16,-11.16,0
14.023,-11.16,-11.16,0
14.043,-11.28,-11.16,0
14.063,-11.28,-11.16,0
14.083,-11.28,-11.28,0
14.103,-11.28,-11.28,0
14.123,-11.28,-11.28,0
14.143,-11.4,-11.28,0
14.164,-11.4,-11.28,0
14.183,-11.4,-11.28,0
14.204,-11.4,-11.4,0
14.223,-11.4,-11.4,0
14.244,-11.4,-11.28,1
14.288,-11.4,-11.28,1
14.308,-11.4,-11.4,1
14.33,-11.4,-11.4,1
14.349,-11.4,-11.4,1
14.368,-11.4,-11.4,1
14.389,-11.4,-11.4,1
14.409,-11.4,-11.4,1
14.429,-11.03,-11.03,1
14.448,-10.42,-10.06,1
14.469,-9.57,-8.35,1
14.489,-7.73,-7.0,1
14.509,-6.15,-6.02,1
14.529,-5.17,-5.17,1
14.549,-4.19,-4.56,1
14.569,-3.7,-4.19,1
14.589,-3.34,-3.7,1
14.609,-2.85,-3.34,0
14.629,-2.24,-3.21,0
14.649,-2.11,-2.97,0
14.669,-1.87,-2.72,0
14.689,-1.38,-2.6,0
14.71,-1.38,-2.36,0
14.729,-1.14,-2.36,0
14.75,-1.26,-2.36,0
14.77,-1.14,-2.24,0
14.79,-1.14,-2.11,0
14.81,-0.89,-2.11,0
14.83,-0.77,-1.87,0
14.849,-0.89,-1.87,0
14.87,-0.89,-1.99,0
14.889,-0.89,-1.87,0
14.909,-0.77,-1.99,0
14.93,-0.65,-1.87,0
14.949,-0.65,-1.75,0
14.97,-0.4,-1.75,0
14.989,-0.4,-1.63,0
15.009,-0.4,-1.63,0
15.03,-1.14,-2.36,0
15.05,-3.21,-4.19,0
15.07,-5.05,-6.51,0
15.089,-6.63,-9.08,0
15.109,-8.71,-10.06,0
15.129,-10.18,-10.54,0
15.149,-10.54,-10.79,0
15.169,-10.91,-11.03,0
15.189,-10.91,-11.03,0
15.209,-11.03,-11.16,0
15.229,-11.16,-11.16,0
15.25,-11.28,-11.28,0
15.269,-11.28,-11.28,0
15.289,-11.28,-11.28,0
15.309,-11.28,-11.28,0
15.329,-11.28,-11.28,0
15.349,-11.4,-11.28,0
15.37,-11.28,-11.28,0
15.39,-11.28,-11.28,0
15.41,-11.4,-11.28,0
15.43,-11.4,-11.28,0
15.449,-11.4,-11.4,1
15.469,-11.4,-11.4,1
15.49,-11.28,-11.4,1
15.51,-11.4,-11.4,1
15.53,-11.4,-11.4,1
15.55,-11.4,-11.4,1
15.57,-11.4,-11.4,1
15.59,-11.4,-11.52,1
15.61,-11.16,-11.03,1
15.63,-10.54,-10.18,1
15.65,-9.69,-8.47,1
15.67,-8.1,-7.12,1
15.69,-6.27,-6.02,1
15.711,-5.29,-5.29,1
15.73,-4.19,-4.68,1
15.75,-3.95,-4.07,1
15.77,-3.46,-3.82,1
15.79,-2.85,-3.58,0
15.81,-2.48,-3.21,0
15.831,-1.87,-3.09,0
15.85,-1.99,-2.85,0
15.87,-1.63,-2.6,0
15.89,-1.38,-2.48,0
15.89,-1.14,-2.36,0
15.91,-1.26,-2.24,0
15.931,-1.14,-2.24,0
15.951,-1.01,-2.24,0
15.971,-1.01,-1.99,0
15.991,-0.65,-1.99,0
16.011,-0.89,-1.99,0
16.031,-0.89,-1.87,0
16.051,-0.77,-1.99,0
16.071,-0.77,-1.99,0
16.09,-0.65,-1.75,0
16.111,-0.53,-1.75,0
16.131,-0.53,-1.75,0
16.15,-0.53,-1.63,0
16.171,-0.28,-1.75,0
16.19,-0.89,-2.11,0
16.211,-2.97,-4.07,0
16.231,-4.92,-6.15,0
16.25,-6.27,-8.83,0
16.271,-8.47,-9.93,0
16.291,-9.93,-10.54,0
16.311,-10.42,-10.79,0
16.331,-10.79,-10.91,0
16.351,-10.91,-11.03,0
16.371,-11.03,-11.16,0
16.391,-11.16,-11.16,0
16.411,-11.28,-11.16,0
16.431,-11.28,-11.16,0
16.451,-11.28,-11.28,0
16.471,-11.28,-11.28,0
16.491,-11.28,-11.28,0
16.512,-11.4,-11.28,0
16.531,-11.28,-11.28,0
16.551,-11.4,-11.28,0
16.571,-11.4,-11.28,0
16.591,-11.4,-11.28,0
16.611,-11.4,-11.28,1
16.631,-11.4,-11.4,1
16.651,-11.4,-11.4,1
16.671,-11.4,-11.4,1
16.696,-11.4,-11.28,1
16.717,-11.4,-11.28,1
16.737,-11.52,-11.4,1
16.756,-11.52,-11.4,1
16.782,-11.28,-11.16,1
16.798,-10.67,-10.54,1
16.818,-9.93,-9.32,1
16.839,-8.47,-7.86,1
16.864,-6.63,-6.51,1
16.882,-5.54,-5.66,1
16.898,-4.44,-5.05,1
16.917,-3.95,-4.44,1
16.936,-3.46,-3.95,1
16.963,-2.85,-3.82,1
16.979,-2.6,-3.34,0
16.997,-1.99,-3.21,0
