Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
9.357,-4.19,-4.8,0
9.377,-4.07,-4.8,0
9.397,-4.07,-4.8,0
9.417,-4.07,-4.8,0
9.437,-4.07,-4.8,0
9.457,-4.07,-4.8,0
9.477,-4.07,-4.8,0
9.497,-4.19,-4.8,0
9.517,-4.31,-4.8,0
9.537,-4.19,-4.92,0
9.557,-4.07,-4.92,0
9.577,-4.07,-4.8,0
9.597,-4.07,-4.8,0
9.617,-4.07,-4.68,0
9.637,-4.07,-4.68,0
9.657,-3.95,-4.68,0
9.677,-3.95,-4.68,0
9.697,-3.95,-4.68,0
9.717,-4.07,-4.68,0
9.737,-4.07,-4.68,0
9.757,-5.05,-5.54,0
9.777,-6.02,-6.51,0
9.797,-6.76,-7.12,0
9.817,-7.0,-8.22,0
9.837,-7.61,-9.08,0
9.857,-8.71,-9.32,0
9.877,-9.32,-9.57,0
9.897,-9.57,-9.69,0
9.917,-9.69,-9.81,0
9.937,-9.69,-9.81,0
9.957,-9.81,-9.81,0
9.977,-9.81,-9.93,0
9.997,-9.81,-9.93,0
10.017,-9.69,-9.93,0
10.037,-9.81,-9.93,0
10.057,-9.93,-10.06,0
10.077,-9.93,-10.06,0
10.097,-10.06,-10.06,0
10.098,-9.93,-10.06,0
10.118,-9.93,-10.06,0
10.138,-9.93,-10.06,0
10.158,-9.93,-10.06,0
10.178,-10.06,-10.06,0
10.198,-10.06,-10.06,0
10.218,-10.06,-10.06,0
10.238,-10.06,-10.06,0
10.258,-10.06,-10.18,0
10.278,-10.06,-10.18,0
10.298,-10.06,-10.18,0
10.318,-10.06,-10.18,0
10.338,-10.06,-10.18,0
10.358,-10.06,-10.18,0
10.378,-10.06,-10.18,0
10.398,-10.18,-10.18,0
10.418,-10.06,-10.18,0
10.438,-10.18,-10.18,0
10.458,-10.18,-10.18,1
10.478,-10.18,-10.18,1
10.499,-10.18,-10.18,1
10.519,-10.18,-10.18,1
10.539,-10.18,-10.18,1
10.559,-10.18,-10.18,1
10.579,-10.06,-10.18,1
10.599,-10.18,-10.18,1
10.619,-10.18,-10.18,1
10.639,-10.18,-10.18,1
10.659,-10.18,-10.18,1
10.679,-10.18,-10.3,1
10.699,-10.18,-10.3,1
10.719,-9.81,-9.93,1
10.739,-9.2,-9.32,1
10.759,-8.59,-8.71,1
10.779,-8.22,-7.73,1
10.799,-7.61,-7.12,1
10.819,-6.63,-6.63,1
10.839,-6.02,-6.27,1
10.859,-5.54,-6.02,1
10.879,-5.29,-5.78,1
10.899,-5.17,-5.66,1
10.919,-5.05,-5.54,1
10.939,-4.92,-5.41,1
10.959,-4.68,-5.29,1
10.979,-4.56,-5.29,1
10.999,-4.44,-5.17,1
11.019,-4.44,-5.17,1
11.039,-4.44,-5.17,0
11.059,-4.56,-5.17,0
11.079,-4.56,-5.17,0
11.099,-4.31,-5.05,0
11.119,-4.19,-5.05,0
11.139,-4.19,-5.05,0
11.159,-4.19,-4.92,0
